emp_id,age,gender,ethnicity,education_level,marital_status,department,business_unit,job_title,job_level,location,tenure_months,employment_type,performance_rating,engagement_score,risk_of_exit_score,high_potential_flag,current_salary,base_salary,bonus_eligible,bonus_pct,equity_grant,equity_pct,training_count,promotion_count,succession_plan_status,aihr_certified,leave_days_24m,leave_events_24m,approval_ratio,attrition_flag,veteran_status,disability_status,fte
EMP001,45,Male,Asian,Master,Married,HR,Corporate,HR Director,4,New York,96,Full-time,4.5,4.8,0.63,TRUE,145000,130000,TRUE,0.25,TRUE,0.03,8,3,Ready Now,TRUE,12,2,0.95,0,No,No,1
EMP002,28,Female,White,Bachelor,Single,Sales,Revenue,Sales Representative,2,Chicago,18,Full-time,3.2,3,0.72,FALSE,52000,50000,TRUE,0.08,FALSE,0,2,0,Not Ready,FALSE,28,5,0.65,1,No,No,1
EMP003,35,Male,Hispanic,Bachelor,Married,IT,Technology,Senior Developer,3,San Francisco,60,Full-time,4.2,4.5,0.61,TRUE,115000,105000,TRUE,0.18,TRUE,0.02,6,2,Ready in 1 Year,TRUE,8,2,0.88,0,No,No,1
EMP004,42,Female,Black,Master,Divorced,Finance,Corporate,Finance Manager,3,Boston,84,Full-time,4,4.2,0.55,TRUE,98000,90000,TRUE,0.15,TRUE,0.01,5,2,Ready Now,FALSE,15,3,0.82,0,Yes,No,1
EMP005,31,Male,White,Bachelor,Single,Customer Service,Operations,Support Specialist,2,Miami,24,Full-time,2.8,2.5,0.78,FALSE,45000,43000,FALSE,0,FALSE,0,1,0,Not Ready,FALSE,35,6,0.58,1,No,Yes,1
EMP006,39,Female,Asian,PhD,Married,R&D,Innovation,Research Scientist,4,Seattle,72,Full-time,4.6,4.7,0.55,TRUE,135000,125000,TRUE,0.22,TRUE,0.04,7,2,Ready Now,TRUE,10,2,0.92,0,No,No,1
EMP007,26,Male,Hispanic,Bachelor,Single,Sales,Revenue,Junior Sales,1,Dallas,12,Full-time,3.6,2.8,0.81,FALSE,42000,40000,TRUE,0.05,FALSE,0,1,0,Not Ready,FALSE,32,5,0.55,1,No,No,1
EMP008,48,Female,White,Master,Married,HR,Corporate,HR Business Partner,3,Atlanta,108,Full-time,4.3,4.4,0.55,TRUE,92000,85000,TRUE,0.15,TRUE,0.01,6,3,Ready in 1 Year,TRUE,14,3,0.85,0,No,No,1
EMP009,33,Male,Black,Bachelor,Married,Operations,Operations,Operations Manager,3,Phoenix,48,Full-time,3.8,3.9,0.35,FALSE,78000,72000,TRUE,0.12,FALSE,0,4,1,Ready in 2 Years,FALSE,18,3,0.75,0,Yes,No,1
EMP010,29,Female,Asian,Master,Single,Marketing,Revenue,Marketing Analyst,2,Denver,30,Full-time,3.6,3.3,0.45,FALSE,62000,58000,TRUE,0.08,FALSE,0,3,1,Not Ready,FALSE,22,4,0.7,1,No,No,1
